	ヶ
Anglo-Arab	アングロアラブ
Anglo-Catholic	アングロ・カトリック
Anglo-Norman	アングロノルマン
Anglo-Saxon	アングロ・サクソン
Angola	アンゴラ
Anoekumene	アネクメーネ
Anopheles	アノフェレス
Antares	アンタレス
Antigua	アンティグア
Anzac	アンザック
Apache	アパッチ
Apatosaurus	ブロントザウルス
Aphrodite	アフロディテ
Apochromat	アポクロマート
Apocrypha	アポクリファ
Apollo	アポロ
Apple	アップル
AppleTalk	アップルトーク
April	エープリル
Arab	アラブ
Arabia	アラビア
Aram	アラム
Arctic	アークティック
Arcturus	アルクトゥールス
Ares	アレス
Argentina	アルゼンチン
Armenia	アルメニア
Artemis	アルテミス
Ashkenazim	アシュケナジム
Asia	アジア
Asian	アジア
Asiatic	アジア
Aspite	アスピーテ
AstraZeneca	アストラゼネカ
Astrodome	アストロドーム
Athena	アテナ
Athene	アテナ
Athens	アテネ
Athlon	アスロン
Atlas	アトラス
August	オーガスト
Aun	アウン
Aureomycin	オーレオマイシン
Austin	オースチン
Australia	オーストラリア
Australian	オージー
Australoid	オーストラロイド
Australopithecus	アウストラロピテクス
Austria	オーストリア
Ayatollah	アーヤトッラー
Ayurveda	アーユルヴェーダ
Aztec	アステカ
B	ベル
BASIC	ベイシック
BCD	ボイヤンシーコントロール・デバイス
BD	ブルーレイ
BIFF	ビフ
BIPS	ビップス
BMW	ベーエムベー
BOOTP	ブートピー
BOPS&J	ボップスアンドジェイ
BR	ブートレコード
BT	ブリティッシュテレコム
Bakelite	ベークライト
Bayes	ベイズ
Bayesian	ベイジアン
Becky!	ベッキー
Bedouin	ベドウィン
Beethoven	ヴェートーベン
Behcet	ベーチェット
Beirut	ベイルート
Belarus	ベラルーシ
Belfast	ベルファスト
Belgium	ベルギー
Belgrade	ベオグラード
Belize	ベリーズ
Bellcore	ベルコア
Benelux	ベネルックス
Benson	ベンソン
Benz	ベンツ
Beretta	ベレッタ
Berlin	ベルリン
Bernoulli	ベルヌーイ
Bezier	ベジェ
Bhrahma	ブラフマン
Bhrama	ブラフマン
Bhraman	ブラフマン
Bhutan	ブータン
Bluetooth	ブルートゥース
Boeing	ボーイング
Boer	ブール
Bohemian	ボヘミアン
Bolivia	ボリビア
Bolshevik	ボリシェヴィキ
Bolshevism	ボリシェヴィズム
Boltzmann	ボルツマン
Bonapartism	ボナパルティズム
Borland	ボーランド
Borneo	ボルネオ
Bosnia	ボスニア
Bosnia-Herzegovina	ボスニアヘルツェゴビナ
Boston	ボストン
Botox	ボトックス
Botswana	ボツワナ
Boulder	ボールダー
Bourguignon	ブールギニョン
Bourne	ボーン
Brahman	ブラーマン
Brahmanism	ブラーマン
Brahms	ブラームス
Bratislava	ブラチスラバ
Brazil	ブラジル
Brie	ブリー
BrioQuery	ブリオクエリー
Brisbane	ブリスベン
BritPop	ブリットポップ
Britannia	ブリタニア
Broadway	ブロードウェー
Brocken	ブロッケン
Brontosaurus	ブロントザウルス
Brotopon	ブロトポン
Brownie	ブローニー
Browning	ブローニング
Brussels	ブラッセル
Budapest	ブタペスト
Buddhist	ブッディスト
Bulgaria	ブルガリア
Bulgur	ブルグァ
Burma	ビルマ
C#	シーシャープ
C++	シープラスプラス
C-beam	シービーム
C-stroke	シーストローク
CA	シーエー
CAD-CAM	キャドキャム
CAE	シーエーイー
CAFIS	キャフィス
CALS	キャルス
CAM	コモンアクセスメソッド
CAPTCHA	キャプチャ
CASE	ケイス
CASL	キャッスル
CAV	シーエーブイ
CCD	シーシーディー
CCITT	シーシーアイティーティー
CD	キャリアディテクト
CD-G	シーディージー
CD-I	シーディーアイ
CD-V	シーディーブイ
CDMA	シーディーエムエー
CE	カスタマエンジニア
CEATEC	シーテック
CERN	サーン
CERT	サート
CES	セス
CFC	クロロフルオロカーボン
CG	コンピュータグラフィックス
CGA	シージーエー
CGI	コンピュータグラフィクスインタフェース
CHI	ヒューマンインタフェース
CHKDSK	チェックディスク
CHRP	チャープ
CIE	シーアイイー
CL	セントラルリーグ
CLI	コマンドラインインタフェース
CLIE	クリエ
CLV	シーエルブイ
CMOS	シーモス
CMYK	シーエムワイケー
CNAP	シーナップ
CNIDR	スニーダー
COBOL	コボル
COCOM	ココム
COD	キャッシュオンデリバリー
CODASYL	コダシル
COM	コム
COM1	コムワン
COM2	コムツー
COMDEX	コムデックス
COMECON	コメコン
COMMAND.COM	コマンドコム
CONFIG.SYS	コンフィグシス
CONTROL.INI	コントロールイニ
CORBA	コルバ
CPI	シーピーアイ
CPL	シーピーエル
CPM	シーピーエム
CPS	シーピーエス
CPU	シーピーユー
CR	コンシューマーズリサーチ
CRAY-1	クレイワン
CRC	シーアールシー
CREN	クレン
CRM	シーアールエム
CROMACLEAR	クロマクリア
CRT	シーアールティー
CSJ	シーエスジェイ
CSLIP	シースリップ
CSMA-CA	シーエスエムエーシーエー
CSMA-CD	シーエスエムエーシーディー
CSNET	シーエスネット
CSS	カスケーディングスタイルシート
CSV	シーエスブイ
CTERM	シーターム
CTM	コンポーネントトランザクションモニター
CU-SeeMe	シーユーシーミー
CUG	シーユージー
CUI	シーユーアイ
CUSI	シーユーエスアイ
Cadillac	キャデラック
Caesar	カエサル
Cairo	カイロ
Cajun	ケイジャン
Calgary	カルガリー
California	カリフォルニア
Callisto	カリスト
Calpis	カルピス
Camarasaurus	カマラサウルス
Cambodia	カンボジア
Cambridge	ケンブリッジ
Campylobacter	カンピロバクター
Canada	カナダ
Canadian	カナディアン
Canberra	キャンベラ
Canola	カノーラ
Canon	キヤノン
Capella	カペラ
Capricorn	カプリコン
CardBus	カードバス
Cardinals	カージナルス
Caribbean	カリビアン
Carolina	カロライナ
Cartier	カルティエ
Casanova	カズノバ
Casio	カシオ
Cassiopeia	カシオペア
Castilian	キャステリャ
Cathay	キャセイ
Catholic	カソリック
Catholicism	カトリシズム
Caucasoid	コーカソイド
Celeron	セレロン
Celica	セリカ
Celt	ケルト
Celtic	セルティック
Cemedine	セメダイン
Centaur	ケンタウロス
Centrair	セントレア
Centronics	セントロニクス
Centura	センチュラ
Centuri	センチュリー
Ceres	ケレス
Chakaman	チャッカマン
Chalmers	チャルマース
Chanel	シャネル
Chantilly	シャンティー
Chaparral	チャパラル
Charleston	チャールストン
Charlotte	シャルロット
Chechenia	チェチェン
Chechin	チェチェン
Chechnia	チェチェン
Chechnya	チェチェン
Chernobyl	チェルノブイリ
Cherokee	チェロキー
Chevrolet	シボレー
Chianti	キャンティ
Chicago	シカゴ
Chile	チリ
China	チャイナ
Chinatown	チャイナタウン
Chinese	チャイニーズ
Chinese-bottletree	アオギリ
Chink	チャンコロ
Chloromycetin	クルルマイセチン
Chopin	ショパン
Christ	キリスト
Christian	クリスチャン
Christiania	クリスチャニア
Christmas	クリスマス
Chrysler	クライスラー
Chunnel	ユーロトンネル
Cicero	キケロ
Cincinnatti	シンシナティ
Cinderella	シンデレラ
CinemaScope	シネスコ
Cinerama	シネラマ
Cirsiummicrospicatum	アズマヤマアザミ
Claris	クラリス
Clie	クリエ
Coca-Cola	コカコーラ
Cochin	コーチン
Cohen	コーヘン
Coke	コーケ
Coliseum	コロシアム
Cologne	ケルン
Colombia	コロンビア
Colorado	コロラド
Colosseum	コロシアム
Colt	コルト
Columbia	コロンビア
Cominform	コミンフォルム
Commodore	コモドール
Compaq	コンパック
CompuServe	コンピュサーブ
Computex	コンピューテックス
Concord	コンコルド
Concorde	コンコルド
Congo	コンゴ
Connecticut	コネチカット
Coponicus	コペルニクス
Coppermine	カッパーマイン
Copt	コプト
Corel	コーレル
Cossack	コサック
Creap	クリープ
Creole	クレオール
Cro-Magnon	クロマニョン
Croatia	クロアチア
Crusade	クルーセード
Crusoe	クルーソ
Cryptosporidium	クリプトスポリジウム
Csardas	チャルダッシュ
Cthulhu	クトゥルフ
Cuba	キューバ
Cubism	キュービズム
Cubist	キュビスト
Cupertino	クパティーノ
Cupid	キューピッド
Cuprophan	クプロファン
Curlash	カーラッシュ
Cyberdog	サイバードッグ
Cyprus	キプロス
Cyrillic	キリル
Cyrix	サイリックス
Czardas	チャルダッシュ
Czechoslovakia	チェコスロバキア
C|NET	シーネット
D'Indy	ダンディー
D-STN	ディーエスティエヌ
DAC	ダック
DAO	ダオ
DAP	ディーエーピー
DARPA	ダルパ
DASD	ダスド
DC	ダカーポ
DCE	ディーシーイー
DCI	ディーシーアイ
DCNA	ディーシーエヌエー
DCOM	ディーコム
DDE	ダイナミックデータエクスチェンジ
DDI	ジデオキシイノシン
DDL	ディーディーエル
DDN	ディーディーエヌ
DDX	ディーディーエックス
DDX-P	ディーディーエックスピー
DDX-TP	ディーディーエックスティーピー
DEK	ディーイーケー
DES	ディーイーエス
DIF	ディフ
DIMM	ディム
DIN	ディン
DION	ディオン
DIP	ディップ
DISA	ダイサ
DIX	ディーアイエックス
DLL	ダイナミックリンクライブラリ
DMA	ダイレクトメモリーアクセス
DNS	ディーエヌエス
DOS	ディスクオペレーティングシステム
DPE	ディーピーイー
DPS	ディスプレイポストスクリプト
DRAM	ディーラム
DSA	ディレクトリシステムエージェント
DSP	ディーエスピー
DSS	ディーエスエス
DSU	ディーエスユー
DTE	ディーティーイー
DTM	ディーティーエム
DTP	ディーティーピー
DVD	ディジタルビデオディスク
DX2	ディーエックスツー
DX4	ディーエックスフォー
Dacrotized	ダクロ
Dahl	ダール
Daihatsu	ダイハツ
Dakota	ダコタ
Dallas	ダラス
Dalmatian	ダルメシアン
Daphnis	ダフニス
Darwin	ダーウイン
Darwinism	ダーウィニズム
December	ディセンバー
Dhammapada	ダンマパダ
Dickinsonia	ディキンソニア
Dijkstra	ダイクストラ
Dionysus	ディオニソス
DirectX	ダイレクトエックス
Discman	ディスクマン
Discoverer2000	ディスカバラーニセン
Disney	ディズニー
Disneyland	ディズニーランド
Dow	ダウ
Dundee	ダンディー
Dutchman	ダッチマン
DynaBook	ダイナブック
DynaMosaic	ダイナモザイク
EARN	アーン
EBCDIC	エビシディック
EC	イーシー
ECM	イーシーエム
ECOM	イーコム
ECU	エキュー
EDGAR	エドガー
EDI	イーディーアイ
EDIFACT	イーディーアイファクト
EDLIS	エイドリス
EDS	イーディーエス
EDSAC	エドサック
EDTV	クリアビジョン
EDUCOM	エデュコム
EDVAC	エドバック
EEPROM	イーイーピーロム
EFF	エフ
EGA	イージーエー
EIA	イーアイエー
EIDE	イーアイディーイー
EISA	イーアイサ
EL	エレクトロルミネッセンス
ELAP	イーエルエーピー
ELINT	エリント
EMALL	イーモール
EMB	イーエムビー
EMC	イーエムシー
EMM386	イーエムエムサンハチロク
EMS	イーエムエス
ENIAC	エニアック
ENICOM	エニコム
ENQ	エンク
EOF	イーオーエフ
EOS	イーオーエス
EPROM	イーピーロム
EPWING	イーピーウィング
ERP	イーアールピー
ERwin	アーウィン
ESC-P	イーエスシーピー
ESCAP	エスカップ
ESPer	エスパー
ETX	イーティーエックス
EUC	イーユーシー
EURATOM	ユーラトム
EWS	イーダブリューエス
EXCEL	エクセル
EZ-SCSI	イージースカジー
Easter	イースター
Ecuador	エクアドル
Eden	エデン
Edinburgh	エディンバラ
Egypt	エジプト
Eid	イード
Eire	アイアランド
Electone	エレクトーン
Elysium	エリシウム
EmEditor	エムエディタ
Emacs	イーマックス
Emmental	エメンタール
Emmentaler	エメンタール
Emmenthal	エメンタール
Emmenthaler	エメンタール
England	イングランド
English	イングリッシュ
Ericsson	エリクソン
Eris	エリス
Eros	エロス
Eskimo	エスキモー
Esperanto	エスペラント
Essbase	エスベース
Estonia	エストニア
EtherTalk	イーサトーク
Ethernet	イーサネット
Ethiopia	エチオピア
Euclid	ユークリッド
Eudora	ユードラ
Eurailpass	ユーレイルパス
Eurasia	ユーラシア
Euro-	ユーロ
Eurobank	ユーロバンク
Eurocommunism	ユーロコミュニズム
Eurocrat	ユーロクラット
Eurocurrency	ユーロカレンシー
Eurodollar	ユーロダラー
Euromoney	ユーロマネー
Euronet	ユーロネット
Europe	ヨーロッパ
European	ヨーロピアン
Europort	ユーロポート
Eurosocialism	ユーロソーシャリズム
Eurotunnel	ユーロトンネル
Eurovision	ユーロビジョン
Eutelsat	ユーテルサット
Evenki	エベンキ
Everest	エベレスト
Everglaze	エバーグレーズ
Everpleats	エバープリーツ
Everwhite	エバーホワイト
Exabyte	エクサバイト
Excalibur	エクスカリバー
Excelan	エクセラン
Ezweb	イージーウェブ
FA	エフエー
FACOM	ファコム
FAP	アミロイドニューロパシー
FAQ	エフエーキュー
FAT	ファイルアロケーションテーブル
FAX	ファックス
FC	フランチャイズチェーン
FCC	エフシーシー
FD	エフディー
FDC	フロッピーディスクコントローラ
FDD	エフディーディー
FDDI	エフディーディーアイ
FDHD	エフディーエイチディー
FE	フィールドエンジニア
FEP	エフイーピー
FF	フェデラルファンド
FGAL	エフギャル
FI	フェードイン
FIDO	フィド
FIFO	ファイフォー
FIPS	フィップス
FLABO	エフラボ
FLOPS	フロップス
FNC	エフエヌシー
FO	フェードアウト
FOMA	フォーマ
FORTH	フォース
FORTRAN	フォートラン
FPU	エフピーユー
FQDN	エフキューディーエヌ
FSF	エフエスエフ
FTP	エフティーピー
FTTC	ファイバツーザカーブ
FTTH	ファイバツーザホーム
FYI	フワイ
Fabianism	フェビアニズム
Falcon	ファルコン
Falklands	フォークランド
FastSCSI	ファストスカジー
Fauve	フォーヴ
February	フェブラリー
Fender	フェンダー
Ferrari	フェラーリ
Fields	フィールズ
Fiji	フィジー
Filet-O-Fish	フィレオフィッシュ
Finland	フィンランド
FireWire	ファイアワイヤ
Firefox	ファイアフォックス
Fleming	フラマン
Flemish	フラマン
Florida	フロリダ
Fluothane	フローセン
Fodor	フォドー
Ford	フォード
Fourier	フーリエ
France	フランス
Franglais	フラングレ
Frankfurt	フランクフルト
FreeBSD	フリービーエスディー
FreeML	フリーエムエル
Freemason	フリーメイソン
Freemasonry	フリーメイソン
French	フランセ
French-Canadian	フレンチカナディアン
Freon	フレオン
Friday	フライデー
Friedman	フリードマン
Frisbee	フリスビー
Fuji	フジ
Fuji-TV	フジテレビ
G'morning	グッモーニン
G-man	ジーメン
G-mark	ジーマーク
G-men	ジーマン
G5	ジーファイブ
GC	ガーベッジコレクション
GI	ジーアイ
GIGAMO	ギガモ
GKS	グラフィカルカーネルシステム
GNU	グニュー
GOSIP	ゴシップ
GUCCI	グッチ
GUI	グラフィカルユーザインタフェース
GUT	ガット
GWS	グラフィックスワークステーション
Gabon	ガボン
Gacrux	ガクルクス
Gaea	ガイア
Gaia	ガイア
Galileo	ガリレオ
Gamay	ガメ
Ganymede	ガニメデ
Gaul	ガリア
Gauloise	ゴロワーズ
Gaussian	ガウシアン
Ge	ガイア
Gemini	ジェミニ
Geneva	ジュネーブ
Gentzen	ゲンツェン
GeoCities	ジオシティーズ
Georgia	グルジア
Geotopia	ジオトピア
German	ジャーマン
Gestapo	ゲシュタポ
Geyserville	ガイザービル
Ghana	ガーナ
Ghandi	ガンディー
Giants	ジャイアンツ
Gibraltar	ジブラルタル
Gilyak	ギリヤーク
Ginza	ザギン
Givenchy	ジバンシイ
Glagolitic	グラゴル
Gobelins	ゴブラン
Goddard	ゴッダード
Godel	ゲーデル
Godzilla	ゴジラ
Goldberg	ゴールドバーグ
Gondwana	ゴンドワナ
Goodyear	グッドイヤー
Google	グーグル
Gopher	ゴーファー
Gorgon	ゴルゴー
Gorgonzola	ゴルゴンゾラ
Gotcha	アー
Goteborg	イェテボリ
Goth	ゴート
Gothenburg	イェテボリ
Gouda	ゴーダ
Grammy	グラミー
Greco-Roman	グレコローマン
Greece	ギリシア
Greek	グリーク
Greenland	グリーンランド
Greenpeace	グリーンピース
Greenwich	グリニッジ
Gregorian	グレゴリオ
Grenada	グレナダ
Griot	グリオ
Guam	グァム
Guatamala	グァテマラ
Gucci	グッチ
Guevarista	ゲバリスタ
Guiana	ギアナ
Guinea	ギニア
Guinea-Bissau	ギニアビサウ
Gulag	グーラグ
Gulliver	ガリバー
Gungnir	グーングニル
Gurkha	グルカ
Guyana	ガイアナ
HA	ホームオートメーション
HD	エイチディー
HDA	ヘッドディスクアセンブリ
HDLC	エイチディーエルシー
HE	ヒューマンエンジニアリング
HI	ホームインプルーブメント
HMA	エイチエムエー
HMD	ヘッドマウントディスプレイ
HOOPS!	フープス
HORB	ホーブ
HP	ヒューレットパッカード
HP-UX	エイチピーユーエックス
HPFS	エイチピーエフエス
HR	ヒューマンリレーションズ
HSV	エイチエスブイ
HTML	エイチティーエムエル
Hayes	ヘイズ
Hebraism	ヘブライズム
Hebrew	ヘブライ
Hegira	ヘジラ
Hejira	ヘジラ
Helios	ヘリオス
Hellenism	ヘレニズム
Helmholtz	ヘルムホルツ
Helsinki	ヘルシンキ
Henckels	ヘンケル
Hephaestus	ヘファイストス
Hera	ヘラ
Herakles	ヘーラクレース
Hercules	ヘーラクレース
Herman	エルマン
Hermes	ヘルメス
Herzegovina	ヘルツェゴビナ
Hestia	ヘスティア
Hewlett	ヒューレット
Hey!	アー
Hezbollah	ヘズボッラー
Hijra	ヘジラ
Hilbert	ヒルベルト
Himalaya	ヒマラヤ
Himalayan	ヒマラヤン
Hindi	ヒンディー
Hindu	ヒンズー
Hindustan	インド
Hinohikari	ヒノヒカリ
Hisbollah	ヘズボッラー
Hitler	ヒトラー
Hizballah	ヘズボッラー
Hizbollah	ヘズボッラー
Holland	オランダ
Holmes	ホームズ
Holos	ホロス
Holstein	ホルスタイン
Honda	ホンダ
Honduras	ホンジェラス
Honolulu	ホノルル
Horatio	オラショ
HotJava	ホットジャバ
Hottentot	ホッテントット
Houston	ヒューストン
Hovercraft	ホーバークラフト
Hula-Hoop	フラフープ
Hz	ヘルツ
I-O	アイオー
IAB	アイエービー
IACA	アイエーシーエー
IAEA	アイエーイーエー
IAW	インアクティブウィンドウ
IBG	インターブロックギャップ
IBM	アイビーエム
IC	アイシー
ICANN	アイキャン
ICMP	アイシーエムピー
ICQ	アイシーキュー
IDC	アイディーシー
IDE	アイディーイー
IDEA	アイディーイーエー
IDL	アイディーエル
IE	アイイー
IEEE	アイトリプルイー
IETF	アイイーティーエフ
IFSHEM	イフシェム
IIJ	アイアイジェイ
IIJ4U	アイアイジェイフォーユー
IIOP	アイアイオーピー
IIS	アイアイエス
ILO	アイエルオー
IM	インスタントメッセージ
IMAP	アイマップ
IMAX	アイマックス
IME	アイエムイー
IMF	アイエムエフ
IMP	インターフェイスメッセージプロセッサー
INET	アイネット
INIT	イニット
INMARSAT	インマルサット
INPRISE	インプライズ
INS	インス
INTERTop	インタートップ
IP	インターネットプロトコル
IPL	イニシャルプログラムロード
IPX-SPX	アイピーエックスエスピーエックス
IPv6	アイピーブイシックス
IQ	アイキュー
IRC	アイアールシー
IRIX	アイリックス
IRQ	アイアールキュー
ISAM	アイサム
ISAPI	アイエスエーピーアイ
ISDN	アイエスディーエヌ
ISIZE.COM	イサイズドットコム
ISO	アイエスオー
ISOC	アイエスオーシー
ISODE	アイエスオーディーイー
ISP	インターネットサービスプロバイダ
IT	インフォメーション・テクノロジー
ITF	アイティーエフ
ITU	アイティーユー
ITU-T	アイティーユーティー
ITU-TS	アイティーユーティーエス
Iceland	アイスランド
Ichthyol	イヒチオール
Id	イード
Ikea	イケア
Illinois	イリノイ
Illuminati	イルミナティ
Illustra	イラストラ
Imam	イマーム
Imidol	イミドール
Impressionism	アンプレショニスム
Indeed	アー
Indeo	インディオ
India	インディア
Indian	インディアン
Indiana	インディアナ
Indonesia	インドネシア
Info-Mac	インフォマック
Info-Web	インフォウェッブ
InfoNavigator	インフォナビゲーター
InfoSphere	インフォスフィア
Infomosaic	インフォモザイク
Informix	インフォミックス
Infoseek	インフォシーク
Ingres	イングレス
Inktomi	インクトミ
Intel	インテル
Intelsat	インテルサット
InterCAFIS	インターキャフィス
InterMedia	インターメディア
InterNIC	インターニック
InterSLIP	インタースリップ
InterText	インターテキスト
Intercast	インターキャスト
Interpol	インターポール
Intranet	イントラ
IntranetWare	イントラネットウェア
Inturist	インツーリスト
Inuit	イヌイット
Io	イオ
Ionium	イオニウム
IrDA	アイアールディーエー
Iran	イラン
Iran-Iraq	イイ
Iraq	イラク
Ireland	アイアランド
Irish	アイリッシュ
Iroquois	イロコイ
Isentress	ラルテグラビルカリウム
Islam	イスラーム
Isodine	イソジン
Israel	イスラエル
Isshi	イッシー
Istanbul	イスタンブール
Italian	イタリアン
Italy	イタリア
Itanium	アイテニアム
Izvestia	イズバスチヤ
J-stroke	ジェーストローク
JADMA	ジャドマ
JCL	ジェイシーエル
JDBC	ジェイデービーシー
JDEdwards	ジェイディエドワーズ
JDK	ジェイディーケー
JEIDA	ジェイダ
JES	ジェス
JI	ジェマー・イスラミア
JIT	ジャストインタイム
JOIS	ジョイス
JPEG	ジェイペグ
JPNIC	ジェイピーニック
JUNET	ジュネット
JV	ジョイントベンチャー
JWNTUG	ジャンタグ
Jacobi	ヤコビ
Jacquard	ジャカード
JaguarCTS	ジャガーシーティーエス
Jakarta	ジャカルタ
Jamaica	ジャマイカ
Janet	ジャネット
Janjaweed	ジャンジャウィード
Jansenism	ジャンセニスム
January	ジャニュアリー
Jap	ジャップ
Japan	ジャパン
Japanese	ジャパニーズ
Japanesque	ジャパネスク
Japanimation	ジャパニメーション
Japanologist	ジャパノロジスト
Japanology	ジャパノロジー
Japlish	ジャプリッシュ
Japonaiserie	ジャポネズリ
Japonica	ジャポニカ
Japonisme	ジャポニスム
Java	ジャバ
Java2	ジャバツー
JavaBeans	ジャバビーンズ
JavaOS	ジャバオーエス
JavaScript	ジャバスクリプト
JavaServer	ジャバサーバ
JavaSoft	ジャバソフト
JavaStation	ジャバステーション
JavaWebServer	ジャバウェブサーバ
JavaWorkshop	ジャバワークショップ
Jehovah	エホバ
Jeli	グリオ
Jesuit	ジェスイット
Jesus	イエス
Jew	ジュー
Jews	ユダヤ
Jini	ジーニー
Jinitiator	ジェイイニシエータ
John	ジョン
Jordan	ヨルダン
Joseph's-coat	カマツカ
Josephson	ジョセフソン
Jside.com	ジェイサイド・ドット・コム
Judea	ユダヤ
Jughead	ジャグヘッド
Julius	ユリウス
July	ジュライ
June	ジューン
Junlon	ジュンロン
Juno	ジュノー
Jupiter	ジュピター
JustNet	ジャストネット
JustSystem	ジャストシステム
K5	ケーファイブ
K56flex	ケーゴーロクフレックス
K56x2	ケーゴーロクエックスツー
K6	ケーシックス
KA9Q	ケーエーナインキュー
KIVASOFT	キバソフト
KKK	クークラックスクラン
KO	ケーオー
Kaaba	カーバ
Kahlua	カルーア
Kahn	カーン
Kaiser	カイザー
Kaleida	カライダ
Kaliglas	カリガラス
Kamasutra	カーマスートラ
Kansas	カンザス
Kant	カント
Karachi	カラチ
Karma	カーマ
Kashmir	カシミール
Katmai	カトマイ
Kentucky	ケンタッキー
Kenya	ケニア
Kerberos	ケルベロス
Kermit	カーミット
KeySQL	キーエスキューエル
Khoi	コイ
Khoi-khoin	コイ
Khoikhoi	コイ
Khoisan	コイサン
Kindle	キンドル
Kinuhikari	キヌヒカリ
Kirchhoff	キルヒホッフ
Kirin	キリン
Klaxon	クラクション
Kleene	クリーネ
Kodak	コダック
Koeln	ケルン
Kolbasa	カルパス
Kolmogorov	コルモゴロフ
Komintern	コミンテルン
Komsomol	コムソモール
Kona	コナ
Kopernikus	コペルニクス
Koran	クルアーン
Korea	コリア
Korean	コリアン
Koshihikari	コシヒカリ
Kraepelin	クレペリン
Kremlin	クレムリン
Kremlinology	クレムリノロジー
Kripke	クリプケ
Kristiania	クリスチャニア
Kronecker	クロネッカー
Krugerrand	クルーガーランド
Kurd	クルド
Kurdish	クルド
Kusshi	クッシー
Kuwait	クウェート
Kylix	カイリックス
Kyrgyzstan	キルギスタン
LA	ラボラトリーオートメーション
LAN	ローカルエリアネットワーク
LANDSAT	ランドサット
LAPM	ラップエム
LASH	ラッシュ
LAT	エルエーティー
